Timestamp,Gender,Age,1*2*3*4*5*6*7*8*9 R2 // 9*8*7*6*5*4*3*2*1R1,"In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ n _ ","Suppose there is an a test for brain tumors, which is 99% specific and sensitive. Meaning there are 1 % false positives. Suppose only 0.5% of the population have brain tumors. How high is the chance that I have a brain tumor if the test was positive?",Which words are more often in the english language?,Imagine that the U.S. is preparing for the outbreak of an unusual disease which is expected to kill 600 people. You have a choice between two programs: ,"An individual has been described by a neighbour as follows: ""Steve is very shy and withdrawn invariably helpful but with little interest in people or in the world of reality. A meek and tidy soul, he has a need for order and structure and a passion for detail"" Is Steve more likely to be a librarian or a farmer?","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ ing ","Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more likely?","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ l y","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ l _ ",Group
27/06/2018 08:33:41,male,24,362880,,10,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),5-7,11-15,1
27/06/2018 08:34:07,male,24,8703536,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,1-2,1
27/06/2018 08:34:19,male,46,10000,,5,"More words have the letter k at the third position, than at the beginning","only 600 people in the US, a program would be to expensive",farmer,,Linda is a bank teller. (Bankkauffrau),11-15,3-4,1
27/06/2018 08:37:11,Prefer not to say,25,40000,,9,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
27/06/2018 08:37:30,male,24,8000,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,11-15,1
24/04/2019 08:28:32,female,24,362880,,5,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
24/04/2019 08:28:49,female,22,1300,,3,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,5-7,1
24/04/2019 08:28:49,female,23,250,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),11-15,8-10,1
24/04/2019 08:29:06,female,24,0,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),16+,16+,1
24/04/2019 08:29:08,female,22,55,,10,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,1-2,1
24/04/2019 08:29:16,female,,0,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller. (Bankkauffrau),16+,5-7,1
24/04/2019 08:29:54,female,,25678,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,5-7,1
24/04/2019 08:30:04,female,22,7654321,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),11-15,5-7,1
24/04/2019 08:30:10,female,22,0,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,5-7,1
24/04/2019 08:30:46,female,23,12048,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),11-15,1-2,1
24/04/2019 08:30:21,female,24,1000,,1,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
24/04/2019 08:31:31,female,25,12356,,10,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
03/05/2019 10:37:07,female,23,337,,1,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,5-7,1
03/05/2019 10:37:13,female,23,337,,1,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,5-7,1
03/05/2019 10:37:22,male,22,1000,,9,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,5-7,1
03/05/2019 10:37:30,male,18,5500,,2,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),11-15,8-10,1
03/05/2019 10:37:36,male,20,386000,,10,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
03/05/2019 10:38:03,male,18,370000,,7,"More words have the letter k at the third position, than at the beginning",Investigate in finding a better programm,farmer,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
03/05/2019 10:38:49,male,19,14000,,4,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,3-4,1
03/05/2019 10:39:06,male,21,1230,,5,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,8-10,1
03/05/2019 10:39:06,male,19,50000,,10,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
03/05/2019 10:39:11,male,25,3200000,,4,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
03/05/2019 10:39:33,female,23,709,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,11-15,1
03/05/2019 10:40:27,male,21,362880,,10,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,5-7,5-7,1
03/05/2019 10:41:29,female,23,362970,,1,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,3-4,1
03/05/2019 10:41:37,female,22,100000000,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,5-7,1-2,1
03/05/2019 10:42:12,male,20,10000,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,farmer,,Linda is a bank teller and is active in the feminist movement.,5-7,11-15,1
03/05/2019 10:50:32,female,23,337,,1,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,5-7,1
03/05/2019 13:44:08,male,21,1000,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),16+,8-10,1
03/05/2019 13:48:53,male,21,30000,,3,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),8-10,16+,1
08/05/2019 18:58:35,male,22,900,,1,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
08/05/2019 19:14:34,female,20,900,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,farmer,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
08/05/2019 19:16:42,female,21,5050,,6,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,8-10,1
08/05/2019 19:16:42,male,18,5050,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
08/05/2019 19:17:08,female,21,54,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
08/05/2019 19:17:10,male,20,362880,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
08/05/2019 19:17:27,male,18,638,,7,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,8-10,1
08/05/2019 19:18:43,female,28,10000,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
08/05/2019 19:19:10,female,19,362880,,1,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,8-10,1
08/05/2019 19:19:17,male,21,360000,,5,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
08/05/2019 19:22:34,female,18,350000,,3,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller. (Bankkauffrau),11-15,8-10,1
22/06/2020 08:26:27,male,22,580,,1,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,8-10,1
22/06/2020 08:29:11,female,24,300,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,5-7,1
22/06/2020 08:29:14,female,21,400000,,2,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),8-10,5-7,1
22/06/2020 08:30:29,male,22,10000000,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,8-10,1
22/06/2020 08:30:55,male,25,360000,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),5-7,8-10,1
22/06/2020 08:31:04,female,22,30432,,1,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller and is active in the feminist movement.,11-15,16+,1
22/06/2020 08:31:05,female,22,4050,,5,"More words have the letter k at the third position, than at the beginning",Both are same,librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,16+,1
29/06/2020 08:27:52,female,23,2300,,3,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,11-15,1
29/06/2020 08:27:57,female,23,0,,4,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
29/06/2020 08:28:02,female,24,100,,10,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
29/06/2020 08:28:11,female,,999,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
29/06/2020 08:28:51,female,27,362880,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,11-15,1
29/06/2020 08:29:49,female,26,362.88,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,8-10,1
17/12/2020 08:26:15,female,23,189654,,10,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,5-7,1
17/12/2020 08:26:31,female,22,550,,1,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,farmer,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
17/12/2020 08:26:31,male,29,6040000,,1,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,16+,1
17/12/2020 08:26:37,female,23,50,,9,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,5-7,5-7,1
17/12/2020 08:26:58,female,26,300000,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),8-10,16+,1
17/12/2020 08:27:01,female,23,1500,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,farmer,,Linda is a bank teller. (Bankkauffrau),16+,16+,1
17/12/2020 08:27:14,female,23,300000,,10,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,8-10,1
17/12/2020 08:27:16,female,27,157809,,7,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,11-15,1
17/12/2020 08:27:19,female,22,2561,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller. (Bankkauffrau),16+,8-10,1
17/12/2020 08:27:35,female,,360,,10,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),8-10,5-7,1
17/12/2020 08:27:39,female,22,999,,9,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),16+,8-10,1
17/12/2020 08:27:41,male,25,150000,,10,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),16+,11-15,1
17/12/2020 08:28:08,female,26,362880,,9,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,16+,5-7,1
17/12/2020 08:28:44,female,23,200,,5,"More words have the letter k at the third position, than at the beginning",All people will be saved,farmer,,Linda is a bank teller. (Bankkauffrau),3-4,5-7,1
17/12/2020 08:29:03,male,28,700000,,1,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,farmer,,Linda is a bank teller. (Bankkauffrau),11-15,16+,1
17/12/2020 08:30:24,male,23,100000,,5,There are more words having the letter K at the beginning than at the third position,I deny the virus until I'm not elected again. Then I deny that too. (,librarian,,Linda is a bank teller. (Bankkauffrau),8-10,5-7,1
17/12/2020 08:30:27,male,24,1000,,1,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),8-10,8-10,1
21/06/2021 09:23:30,female,23,250000,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,farmer,,Linda is a bank teller. (Bankkauffrau),16+,5-7,1
21/06/2021 09:23:36,female,22,1000,,1,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,8-10,1
21/06/2021 09:24:27,male,24,100073,,1,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller. (Bankkauffrau),16+,16+,1
21/06/2021 09:24:52,female,,124563,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),11-15,8-10,1
21/06/2021 09:25:04,female,26,362880,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,5-7,3-4,1
21/06/2021 09:25:13,male,23,10000000,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller. (Bankkauffrau),16+,16+,1
21/06/2021 09:25:21,female,24,890,,5,There are more words having the letter K at the beginning than at the third position,Save all of them with a drug,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
21/06/2021 09:25:27,male,27,50000,,8,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),16+,8-10,1
21/06/2021 09:25:49,male,24,999999,,5,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,3-4,8-10,1
22/12/2021 08:34:00,female,28,544320,,5,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,16+,1
22/12/2021 08:34:20,female,25,500,,1,There are more words having the letter K at the beginning than at the third position,,librarian,,Linda is a bank teller. (Bankkauffrau),16+,16+,1
22/12/2021 08:34:59,female,23,10000,,10,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller. (Bankkauffrau),11-15,11-15,1
22/12/2021 08:34:59,male,21,32,,10,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),8-10,8-10,1
22/12/2021 08:37:03,female,22,1000000,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),16+,11-15,1
22/12/2021 08:38:07,female,29,0,,5,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,farmer,,Linda is a bank teller. (Bankkauffrau),16+,11-15,1
22/12/2021 08:38:15,male,24,0,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,3-4,8-10,1
22/12/2021 08:40:36,female,25,362880,,10,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,11-15,1
25/08/2022 23:14:14,male,21,100000071,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,5-7,5-7,1
25/08/2022 23:16:58,female,22,0,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),1-2,1-2,1
04/10/2022 04:21:40,,,300000,,1,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),16+,1-2,1
04/10/2022 04:40:35,female,21,3810240,,10,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,11-15,11-15,1
04/10/2022 05:05:06,female,,362880,,8,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,5-7,5-7,1
04/10/2022 05:42:48,male,21,30000,,10,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller. (Bankkauffrau),11-15,5-7,1
04/10/2022 07:06:26,female,20,987654,,9,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,farmer,,Linda is a bank teller and is active in the feminist movement.,11-15,5-7,1
04/10/2022 09:36:25,male,20,20200,,10,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,16+,11-15,1
04/10/2022 09:58:29,female,21,400000,,9,"More words have the letter k at the third position, than at the beginning",Program B: either no one is saved (67% probability) or everyone is saved (33% probability),farmer,,Linda is a bank teller and is active in the feminist movement.,3-4,0,1
04/10/2022 10:12:28,female,20,0,,9,"More words have the letter k at the third position, than at the beginning",Program A: 200 people will be saved.,librarian,,Linda is a bank teller and is active in the feminist movement.,8-10,11-15,1
04/10/2022 22:45:06,female,20,1000,,9,There are more words having the letter K at the beginning than at the third position,Program B: either no one is saved (67% probability) or everyone is saved (33% probability),librarian,,Linda is a bank teller and is active in the feminist movement.,3-4,8-10,1
04/10/2022 22:49:22,male,19,4500,,1,There are more words having the letter K at the beginning than at the third position,Program A: 200 people will be saved.,farmer,,Linda is a bank teller and is active in the feminist movement.,5-7,1-2,1
